Time,Level,Message
2023-09-05 01:58:48 | CRITICAL | <HttpError 404 when requesting https://sheets.googleapis.com/v4/spreadsheets/1rt-40Efn8Ba9vRLu6Zrpp4UTwiDli0W5m8FaDJOZGgcq/values/test_list%21A2%3AW?alt=json returned "Requested entity was not found.". Details: "Requested entity was not found.">
2023-09-05 01:58:48 | ERROR | 'NoneType' object is not iterable
2023-09-05 01:58:49 | ERROR | Error checking subscription: Chat_id is empty
2023-09-05 01:58:54 | CRITICAL | 'NoneType' object is not iterable
2023-09-05 01:58:54 | CRITICAL | 'NoneType' object is not iterable
Time,Level,Message
Time,Level,Message
Time,Level,Message
Time,Level,Message
2023-09-05 02:18:13 | INFO | Instruction sent
2023-09-05 02:18:13 | INFO | /start user  - 897892225
2023-09-05 02:18:16 | INFO | Press next page
2023-09-05 02:18:17 | INFO | Press next page
2023-09-05 02:18:19 | INFO | Selected city send from
2023-09-05 02:18:21 | INFO | Selected currency for sending
2023-09-05 02:18:23 | INFO | Enter amount. Message: 1231
Time,Level,Message
Time,Level,Message
2023-09-05 02:19:47 | INFO | /start user  - 897892225
2023-09-05 02:19:51 | INFO | Press next page
2023-09-05 02:19:52 | INFO | Press preview page
2023-09-05 02:19:54 | INFO | Press next page
2023-09-05 02:19:56 | INFO | Selected city send from
2023-09-05 02:19:59 | INFO | Selected currency for sending
2023-09-05 02:20:01 | INFO | Enter amount. Message: 21
2023-09-05 02:20:03 | INFO | Press next page
2023-09-05 02:20:05 | INFO | Select city send to
2023-09-05 02:20:06 | INFO | Select currency receiving
2023-09-05 02:20:11 | INFO | Request accepted from operator
2023-09-05 02:20:14 | INFO | Enter rate. User: 5141467887. Message: 2wed
2023-09-05 02:20:15 | INFO | Enter timing. User: 5141467887. Message: 23
2023-09-05 02:20:19 | INFO | Request accepted from client
Time,Level,Message
Time,Level,Message
Time,Level,Message
Time,Level,Message
2023-09-05 14:33:56 | INFO | /start user  - 897892225
2023-09-05 14:33:58 | INFO | Press next page
2023-09-05 14:34:00 | INFO | Selected city send from
2023-09-05 14:34:02 | INFO | Selected currency for sending
2023-09-05 14:34:05 | INFO | Enter amount. Message: 123
2023-09-05 14:34:07 | INFO | Press next page
2023-09-05 14:34:08 | INFO | Press preview page
2023-09-05 14:34:10 | INFO | Select city send to
2023-09-05 14:34:12 | INFO | Select currency receiving
2023-09-05 14:34:16 | INFO | Request accepted from operator
2023-09-05 14:34:22 | INFO | Enter rate. User: 5141467887. Message: Купс
2023-09-05 14:34:26 | INFO | Enter timing. User: 5141467887. Message: Артош
2023-09-05 14:34:44 | INFO | Request accepted from client
2023-09-05 14:35:58 | INFO | Press cancel join
2023-09-05 14:35:58 | INFO | Press cancel join
2023-09-05 14:36:00 | INFO | Press cancel join
2023-09-05 14:36:06 | INFO | Press accept join
2023-09-05 14:36:12 | INFO | Operator press accept join
2023-09-05 14:36:33 | INFO | Instruction sent
2023-09-05 14:36:33 | INFO | /start user  - 897892225
2023-09-05 14:36:35 | INFO | Press next page
2023-09-05 14:36:36 | INFO | Press next page
2023-09-05 14:36:38 | INFO | Selected city send from
2023-09-05 14:36:39 | INFO | Selected currency for sending
2023-09-05 14:36:43 | INFO | Enter amount. Message: 272728
2023-09-05 14:36:48 | INFO | Press next page
2023-09-05 14:36:49 | INFO | Press next page
2023-09-05 14:36:50 | INFO | Pressed custom button
2023-09-05 14:36:53 | INFO | Enter sending to city - Ппп
